source_path,source,original_split,split,raw_label,label,label_index,sha256,width,height,channels,image_format,status,reason,canonical_path
K:\人脸数据集\2013\test\angry\PrivateTest_10131363.jpg,2013,test,test,angry,angry,0,4e24073453fe81e1427ae231495e4db0adeb21edd2ace840835462745091c91a,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_10304478.jpg,2013,test,test,angry,angry,0,fd6857992ced9cb6b6ab61b0b3b8e11c969e1231f317234d02063df11eafa829,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_1054527.jpg,2013,test,test,angry,angry,0,532a339f0a3b17866da2931260afe1db1af80051df3aaef79f078859d16e6fa0,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_10590091.jpg,2013,test,test,angry,angry,0,9d13f54673d753be7b78f71196beec44d31cb5d895713e72e2e8eda6796360d4,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_1109992.jpg,2013,test,test,angry,angry,0,60935d0ce9f55397e1502930d94b2ac1d447fd27e87ed6ca5f991e25f64fc9d2,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_11296953.jpg,2013,test,test,angry,angry,0,accbc7a6146a21f1d32f0f83ca4d0343f9592c79039807387960b6c04db74132,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_12000629.jpg,2013,test,test,angry,angry,0,437f90367c175820dc7335cfecaf470cd4228420e9470651efa633c9b10a8f78,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_12008383.jpg,2013,test,test,angry,angry,0,0ab05061aa2bc737ac326e8adbe3fb42ecdfe6e8411117752eaed190dcc055f2,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_12191716.jpg,2013,test,test,angry,angry,0,1ef788975402ccafc56e4a1899c1f0be2cc4f6c78b0c0a00512990a5ecc38493,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_1221822.jpg,2013,test,test,angry,angry,0,36056a0c1b6d5cd6c8466bd15377e8a032b7a8c474a40a62b1ef0bf7975168ec,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_12403575.jpg,2013,test,test,angry,angry,0,55f38e085d2f930208356f549541ffc8770bcf6f48edab4cb8d4375f060e6a5e,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_12766285.jpg,2013,test,test,angry,angry,0,4686725e0c68f01d2531e9f0c4d9ca8a45d2ec632bd92e806026b525c6171c41,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_12846357.jpg,2013,test,test,angry,angry,0,b1a842cb544830204d9ea9b519583e22c2066318da2f49247e804fbb191660b7,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_1290484.jpg,2013,test,test,angry,angry,0,a00e7f65cff89515dfe7c1ca8c68a057e0ceb86f212d6652dd3ae35579a346fd,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_12912780.jpg,2013,test,test,angry,angry,0,d2b6b8f6c54f22b971f54f5c1988104103ebe7da22287cd46d1a415f863463da,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_13164119.jpg,2013,test,test,angry,angry,0,a18424e81f027b1fb6e1879d2f7885c7c94bee3f859839b320c4ca9a48952dca,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_13278552.jpg,2013,test,test,angry,angry,0,f90607ad758402e294773354327962b2e5fde912e40ec8ad08ba9bb1ac7f81cf,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_13463625.jpg,2013,test,test,angry,angry,0,5aac276a77df0866323243ec023ac3a7031261c595c78d3e499421ebf4f97af5,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_13541561.jpg,2013,test,test,angry,angry,0,27d2f68381313d34d2bfdd478d4c60e09b038d287a099944c5eab34152720efa,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_13664224.jpg,2013,test,test,angry,angry,0,491ab6a3188f10890f53ebe6dfb83a247bca5816d2064c73f1953eb690c77e51,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14325168.jpg,2013,test,test,angry,angry,0,805be14fc745e1aace507fdcedb576384e40997c5b78cff33ffebdffcafb1faf,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14426977.jpg,2013,test,test,angry,angry,0,17c700380d0577b53848d9244aedabaa9a8eecca13922f8dc4018ee290bcf907,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14433751.jpg,2013,test,test,angry,angry,0,b8bb808d740e95a163810b9f48ee3f7f34d2f1082ea1c5e23f978dec54f8df85,48,48,1,JPEG,included,directory,K:\人脸数据集\2013\test\angry\PrivateTest_14433751.jpg
K:\人脸数据集\2013\test\angry\PrivateTest_14444117.jpg,2013,test,test,angry,angry,0,95156b50eba7d30431a7bf5989faae5528a9abcb2bfcf84a8e3dde2deef47721,48,48,1,JPEG,included,directory,K:\人脸数据集\2013\test\angry\PrivateTest_14444117.jpg
K:\人脸数据集\2013\test\angry\PrivateTest_14482875.jpg,2013,test,test,angry,angry,0,58f9242dd7716b1f6d3d66f3975c0075db00bf9f911cf95c68503993b401d5c1,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14494003.jpg,2013,test,test,angry,angry,0,964746b427ccc7d14631df35a08477919fb2eeec39417959a5256aea203ae9ba,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14565821.jpg,2013,test,test,angry,angry,0,a1cb02618fc697e5db727ae18334a34646e58a7791af8eabbbb07ace79a23c02,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14596578.jpg,2013,test,test,angry,angry,0,d675d93ebeefd9266ebf40ac8bbbf7278f260165d14acf9b15d51e62034b7da4,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14740105.jpg,2013,test,test,angry,angry,0,c603ac07113b6828e8d075dfd8d92d6010ac028072771e8bb6abfc1796478e1d,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14769246.jpg,2013,test,test,angry,angry,0,6acf40c79bd621b4ed87d1c450d677f82c985d96e3515bd954301552f21343b1,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_1488292.jpg,2013,test,test,angry,angry,0,3938e9c5cf433e4be43d03fd7a4fbd981ff625674dc09ae41adba1f222a88ec9,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_14887556.jpg,2013,test,test,angry,angry,0,a503c2447bfc407cd0447dc32658882085427487fd944c25b35720bfccdf644f,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_15489614.jpg,2013,test,test,angry,angry,0,b18723781718389b8ae264e9fdaa506441b866c5757ecc7b5ed6e4014ab07897,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_15827448.jpg,2013,test,test,angry,angry,0,01de25accc38d8314803699583f87cfcbd0e62c2e4ee29e8bb26e6412b788e79,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_15855670.jpg,2013,test,test,angry,angry,0,8fd6908a769626e49146efd48cd2f93bb7c89b63e34eb8a92de49d632ac75d47,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_1623042.jpg,2013,test,test,angry,angry,0,2031dc4a48370dd49c7902829d4793b548e23d93d78814261dc9906868029768,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_16345756.jpg,2013,test,test,angry,angry,0,c50de73d4261c49e7e81cfa9317add541ab2ffd0ed75ec63d03275fd6fcce8b2,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_16834914.jpg,2013,test,test,angry,angry,0,4343c4c85727900c5d1652318674cf91ad038e3e1695a50730bc5f70c2070f63,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_17503955.jpg,2013,test,test,angry,angry,0,7d299e1848ddab19399d402cae025f3f59e97f5c98e19f6515fddcbde878fa96,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_17952984.jpg,2013,test,test,angry,angry,0,d816427aea831bd22176f9592213ce81dd4740c6fec90b3afaeab0ab1c9d90fe,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_1809180.jpg,2013,test,test,angry,angry,0,5837276b4ffc1e5c78994c9be8839ea88ee04381871d5accfc726849d597ef4e,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_18151590.jpg,2013,test,test,angry,angry,0,e009b124b44ca30ba57b49adec54d7b8589a16866657f5372d7b349d616d5d4d,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_18347688.jpg,2013,test,test,angry,angry,0,8ed5918ddc11269f03280edd7ee5f3f89475ab7061fe6d6814f7e8288d2e126f,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_1850005.jpg,2013,test,,angry,angry,0,900e9177b8dd4a177891ea22d04024afb93c1943279d50cd1b6e68eeb4bf2d36,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\angry\PrivateTest_1862370.jpg,2013,test,test,angry,angry,0,8a9cfffb1980c21f869da6966b5b585a4f6516111bfa884a30954dbcb60277c4,48,48,1,JPEG,included,directory,
K:\人脸数据集\2013\test\angry\PrivateTest_19041965.jpg,2013,test,test,angry,angry,0,cc8ca41b0ed8b6f890b6353c6ed7bca54d722b8d374b780a71a75090846eecf9,48,48,1,JPEG,included,directory,
