source_path,source,original_split,split,raw_label,label,label_index,sha256,width,height,channels,image_format,status,reason,canonical_path
K:\人脸数据集\2013\test\angry\PrivateTest_68156545.jpg,2013,test,,angry,angry,0,215fa48f59d3992e707ee89ad06bef66cf52cab57c1934cd9cfe7537a1533b09,48,48,1,JPEG,excluded,cross_split_duplicate_keep_test,K:\人脸数据集\2013\test\angry\PrivateTest_38456003.jpg
K:\人脸数据集\2013\test\angry\PrivateTest_80645015.jpg,2013,test,,angry,angry,0,215fa48f59d3992e707ee89ad06bef66cf52cab57c1934cd9cfe7537a1533b09,48,48,1,JPEG,excluded,cross_split_duplicate_keep_test,K:\人脸数据集\2013\test\angry\PrivateTest_38456003.jpg
K:\人脸数据集\2013\test\angry\PrivateTest_88815839.jpg,2013,test,,angry,angry,0,e2bc34c4fc0b1c2aa3a70b3d7a2fd6ac1725500bed6c50e0a2cad5ac21de249c,48,48,1,JPEG,excluded,cross_split_duplicate_keep_test,K:\人脸数据集\2013\test\angry\PrivateTest_35759444.jpg
K:\人脸数据集\2013\test\angry\PrivateTest_99901650.jpg,2013,test,,angry,angry,0,dc29d3ca229d4fc951716f746e0f0fa6bf1a4503a828ebd1ec6ad15ff91bce27,48,48,1,JPEG,excluded,cross_split_duplicate_keep_test,K:\人脸数据集\2013\test\angry\PrivateTest_77446000.jpg
K:\人脸数据集\2013\test\angry\PublicTest_31362928.jpg,2013,test,,angry,angry,0,0a31e92a28cd24bf3f5070e51953d5b553df1e150e3a07863fb5a2fb56655d81,48,48,1,JPEG,excluded,cross_split_duplicate_keep_test,K:\人脸数据集\2013\test\angry\PrivateTest_92905981.jpg
K:\人脸数据集\2013\test\angry\PublicTest_49408064.jpg,2013,test,,angry,angry,0,f3c5b77eacf286d382263f2ea9ea56993c68522689ad962edeaaf55c8cc1853f,48,48,1,JPEG,excluded,same_source_exact_duplicate,K:\人脸数据集\2013\test\angry\PublicTest_48512363.jpg
K:\人脸数据集\2013\test\angry\PublicTest_63906265.jpg,2013,test,,angry,angry,0,20a2e48c3e5626335e60241cef189b10bfd12d6c7a5d0a98307e55626f9ebf04,48,48,1,JPEG,excluded,cross_split_duplicate_keep_test,K:\人脸数据集\2013\test\angry\PrivateTest_59389857.jpg
K:\人脸数据集\2013\test\angry\PublicTest_65705281.jpg,2013,test,,angry,angry,0,ca2ab69747356ff354f9a27d926cc7f92f1c3a889ebd6a93232160f919c5ee3d,48,48,1,JPEG,excluded,same_source_exact_duplicate,K:\人脸数据集\2013\test\angry\PrivateTest_60498147.jpg
K:\人脸数据集\2013\test\angry\PublicTest_66950868.jpg,2013,test,,angry,angry,0,6e07e40210a708387e0c1b77054a48bf63c8c791068f1f4839177148a95b6f7d,48,48,1,JPEG,excluded,cross_split_duplicate_keep_test,K:\人脸数据集\2013\test\angry\PrivateTest_61043821.jpg
K:\人脸数据集\2013\test\angry\PublicTest_85586711.jpg,2013,test,,angry,angry,0,20a2e48c3e5626335e60241cef189b10bfd12d6c7a5d0a98307e55626f9ebf04,48,48,1,JPEG,excluded,cross_split_duplicate_keep_test,K:\人脸数据集\2013\test\angry\PrivateTest_59389857.jpg
