source_path,source,original_split,split,raw_label,label,label_index,sha256,width,height,channels,image_format,status,reason,canonical_path
K:\人脸数据集\2013\test\angry\PrivateTest_1850005.jpg,2013,test,,angry,angry,0,900e9177b8dd4a177891ea22d04024afb93c1943279d50cd1b6e68eeb4bf2d36,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\angry\PrivateTest_24760870.jpg,2013,test,,angry,angry,0,45989fc80b1491c88c2dbe33a92605bf0a4fa822c286f9bd7a1999a6e6db1cb9,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\angry\PrivateTest_99012891.jpg,2013,test,,angry,angry,0,35a5e499e179360a5da52d92e3d48a55e76e26ba3dad53075912655cb50ccf6c,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\angry\PublicTest_5543497.jpg,2013,test,,angry,angry,0,7d95ea9b5675227952eaca2898cd12019f224ca9af14d757258a7ba7e9919b2c,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\angry\PublicTest_80419054.jpg,2013,test,,angry,angry,0,f9f1f73a7f064a5aead2d1c3f19462ccd21fdce16e0bd1885e797e6f2370fd7d,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\disgust\PublicTest_75786377.jpg,2013,test,,disgust,disgust,1,c467aecce4c7ebfb3ea527a207508f882a59b9fd3763b3b784be0be49769dd1e,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PrivateTest_29356749.jpg,2013,test,,fear,fear,2,d24a5177ff5a8e1d603a2b43cda396a709ea4802be4a45f7e8f7b78617c8b32d,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PrivateTest_4712911.jpg,2013,test,,fear,fear,2,befbcbde37c7c976b26ff838db6acb4e98834e6fb2c04b5f2e7855528ee6ddad,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PrivateTest_63034657.jpg,2013,test,,fear,fear,2,6ba91d9561fee22146b6dd8dd55447dac7d7f15f015581334f12b4a38347400d,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PrivateTest_71959086.jpg,2013,test,,fear,fear,2,65e08a468c2e713eb3e423a274149a97c85f86533a58ecf31656248c9e8b41a6,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PublicTest_11067233.jpg,2013,test,,fear,fear,2,f9f1f73a7f064a5aead2d1c3f19462ccd21fdce16e0bd1885e797e6f2370fd7d,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PublicTest_21354785.jpg,2013,test,,fear,fear,2,ba2fcb4996f444606801d07d1ac88145bf604716b024e04b961eb2d9d1e512d5,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PublicTest_34231050.jpg,2013,test,,fear,fear,2,4e718071b5b6e2decf99bfadd675e108b5f288903eab6f3516575c40a2fec9b4,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PublicTest_44233912.jpg,2013,test,,fear,fear,2,7cf07c03f5c5099bfb6ea7055f9a70b22458f30963032268c4ec40ac2e7707c3,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\fear\PublicTest_78036016.jpg,2013,test,,fear,fear,2,a583bd12fc6e0f50b964e52e717f1659473c5ef0341e6375d12033ff234f8d61,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
K:\人脸数据集\2013\test\happy\PrivateTest_55497947.jpg,2013,test,,happy,happy,3,f31a4772b710998e810fdd6d4fb621076844f32f9d7628239304ec252a8ddcc8,48,48,1,JPEG,quarantined,cross_label_hash_conflict,
